date,mineral_code,quantity_sold,unit_price,currency
2025-01-01,AG,228000,24.50,USD
2025-01-01,AU,7950,2000,USD
2025-02-01,AG,233000,24.60,USD
2025-02-01,AU,8150,2010,USD
2025-03-01,AG,238000,24.70,USD
2025-03-01,AU,8350,2020,USD
2025-04-01,AG,236000,24.80,USD
2025-04-01,AU,8250,2030,USD
2025-05-01,AG,240000,24.90,USD
2025-05-01,AU,8450,2040,USD
2025-06-01,AG,243000,25.00,USD
2025-06-01,AU,8550,2050,USD
2025-07-01,AG,245000,25.10,USD
2025-07-01,AU,8650,2060,USD
2025-08-01,AG,248000,25.20,USD
2025-08-01,AU,8750,2070,USD
2025-09-01,AG,250000,25.30,USD
2025-09-01,AU,8850,2080,USD
2025-10-01,AG,253000,25.40,USD
2025-10-01,AU,8950,2090,USD
2025-11-01,AG,256000,25.50,USD
2025-11-01,AU,9050,2100,USD
2025-12-01,AG,258000,25.60,USD
2025-12-01,AU,9150,2110,USD
